gene  z1         z2       z3          z4        z5          z6      z7        z8         z9        z10    z11         z12       z13       z14        z15      z16       z17      z18        z19        z20       z21     z22        z23       z24       z25      z26        z27       z28        z29      z30       z31      z32       z33       z34       z35       z36       z37       z38        z39       z40      z41       z42        z43      z44        z45      z46       z47      z48         z49       z50      z51       z52        z53       z54      z55        z56      z57        z58      z59       z60        z61      z62      z63              
  11   1.82816   1.07050   1.77437   1.51340   1.74456   1.99122   2.03526   1.86249   1.73451   1.31828   1.77437   1.73451   1.69502   1.82816   1.37991   1.17979   1.27857   1.27857   1.40819   1.65500   1.48275   1.79401   1.72288   1.53337   1.65500   1.85880   1.72288   1.51594   1.59142   1.73451   1.65500   1.61942   1.45487   1.77437   1.67267   1.72288   1.74456   1.54815   1.57246   1.90697   1.95420   1.90697   1.92684   1.69502   1.89216   1.95420   1.83886   1.25143   1.44204   1.83886   1.26240   1.95420   1.77437   1.62902   1.53808   1.71949   1.48607   1.79092   1.78636   1.39070   1.90697   1.90697   1.79401
  12   0.03956  -0.26319  -0.95842   0.45603  -0.59357  -0.79374  -0.71857  -1.15972  -0.26384   0.09948  -0.29109  -0.91417  -0.39031  -1.09245  -0.51638   0.31244  -0.09910  -0.47844  -0.45146  -0.34066   0.31244  -0.82440  -1.11247  -0.61601  -0.27303  -0.20187  -0.13045   0.30195   0.18220   0.09390   0.30195   0.06611  -0.26283   0.14028  -0.40115  -0.40865  -0.52391  -0.21685  -0.00401  -0.19171   0.31787  -0.07996   0.04960  -0.44017  -0.58125  -1.71203  -0.69405  -0.48621  -0.42856  -0.04704   0.44693  -0.32635   0.21241   0.51953   0.09390   0.15961  -0.37877   0.29999   0.11978  -0.29172  -0.37608  -0.07996  -1.03791
  13   1.85880   1.73451   1.70872   1.90697   1.39070   1.55596   1.57246   1.65500   1.53337   1.06137   1.68927   1.80723   1.65391   1.07955   1.82816   1.63954   1.51340   1.51340   1.65391   1.89216   1.64842   1.62902   0.94684   1.47780   1.90697   1.54815   1.85880   1.64842   1.62902   1.90697   1.86249   1.68927   1.90697   1.89216   1.77437   1.51340   1.63954   1.64842   1.67267   1.99122   1.95847   1.95847   1.69502   1.85880   1.42514   0.69791   1.08012   1.65391   1.29561   1.57246   1.80723   1.92684   1.72288   1.83886   1.77437   1.95420   1.90415  -0.14497   1.73451   1.69502   1.52188   1.82816   1.83886
  14   0.35118   1.00635   1.07955  -1.86562   0.57875   0.78491   1.03622   0.84469   0.65641   0.93535   0.93768   0.75224   1.44204  -0.26794  -0.22402  -0.04416   1.13198   0.31660   0.28160   0.40290   0.69395  -0.13559   0.00025   0.64682   0.38001   0.22218  -0.55478  -0.19075   0.19235   0.56290   0.04679  -0.00783  -0.04134  -0.03356  -0.16311   0.44263   0.75224   0.24310   0.46656   0.31218   0.26983   0.31824   0.50540   0.87832   0.07590   0.63742   0.56693   0.33586   0.67864   0.28160   0.11978   0.10368   1.46121  -0.25096   1.22087   0.91725   0.67144   0.74089   1.32903   0.64682   1.15139   0.99413   1.06137
  15   0.92195   0.39133   0.61261   0.14080  -0.07359   0.19836   0.23250   0.31218   0.28160   0.07849   0.35118   0.32519   0.41499  -0.16164   0.02999   0.09062  -0.35155  -0.47008  -0.41696  -0.35932  -0.01588  -0.19806  -0.17287  -0.55949  -0.64789  -0.74370  -0.44785   0.01435   0.37046   0.56693   0.94055   0.42752   0.50386  -0.00040  -0.80599  -0.47651  -0.52560  -0.75280  -0.94766  -0.65278  -0.56696  -0.75609  -0.23256  -0.15414   0.01153  -0.34186  -0.52730  -0.67335  -1.10293  -0.30585   0.43725  -1.03564   0.31218   0.84726   0.57369   0.79843   0.26911   0.12478   0.50540   0.22506   0.82057  -0.27161  -0.59376
  16  -0.77620  -0.21828   0.20339   0.91725  -1.20681  -1.00335  -0.99506  -0.62521  -1.00389  -0.59149  -1.13460  -0.41696   0.02523  -0.08796  -0.52560  -0.28842  -0.22935   0.00280   0.03512  -0.68033  -0.45146   0.50540   0.22686  -0.98177  -0.74507  -0.91093  -0.65489  -0.93988  -0.50121  -0.38317  -0.44957  -0.38713  -0.13445  -0.38221  -0.86626  -0.69405  -0.47185  -0.61296  -0.34786  -0.36464  -0.30966  -0.60459  -0.67335  -1.97583  -1.40508  -0.95024  -0.12375  -0.82806  -1.08309  -0.75609   0.38974  -1.47688   0.43777  -0.67335   0.02523  -1.71397  -0.40332   0.56290   0.62262  -1.33989  -0.20187   0.00280  -0.37564
  17   0.33586  -0.89319   0.05064  -0.14717  -0.26039  -0.59648   0.30498   0.10616  -0.04134   0.26727  -0.36061   0.14988   0.03445   0.54372  -0.03475   0.26983  -0.60496   0.05159   0.14332   0.07302   0.13129   0.66212   0.22556  -0.28390  -0.15152  -0.41151  -0.32982  -0.41847  -0.16765  -0.30165  -0.45169   0.28518   0.34032   0.12646  -0.10187   0.19836   0.00145   0.63943   0.36752   0.91045   0.47884   0.16382   0.30498   0.14570  -0.91267  -0.48022  -0.00040  -0.18201  -0.02491   0.50540   0.47505   0.00280   0.12813   0.28552   0.12093   0.05586  -0.83807  -1.02750   0.32519  -0.97379  -0.62074   0.17404  -0.35511
  18   1.13971   0.90725   0.92925   0.00683   0.38974   0.43887   1.19803   1.05906   0.88466   0.30649   0.36068   0.59189   0.55337   0.64883   1.50637   1.75985   0.30921   1.39070   1.39070   0.38233   1.22087   1.78636   0.98182   0.32519   0.45882   0.98911   0.89019   1.21795   1.09024   1.42514   1.04297   0.84469   0.80560   0.88466   0.61718   0.20559   0.66212   0.56693  -0.66204   1.45487   1.31828   0.49716   1.07050   1.01747   1.03048   0.57875   0.85143   0.18706   1.39936   0.27589   1.16888   0.12482   0.64167   0.99413   1.05630   0.97250   0.21680   0.33586   0.43162   0.76062   0.28160  -0.65282   0.50958
  19  -0.41230  -1.52168   0.68773  -2.17772   0.12478  -0.12562  -0.44816  -0.76949  -0.80722  -1.83447  -0.88783  -1.18785  -0.73789   0.60862  -0.85228  -1.15423  -0.89441   1.60881   1.28802   0.36828  -0.83402   1.12337   0.84469  -0.07996   0.67684   0.69502  -0.16046  -0.35226  -0.33282  -0.41680  -0.58951  -0.84830  -1.04095  -1.25028   0.79843   0.38784   0.50540   1.04560   0.26911  -0.14862   0.43690   0.05159   0.33461  -0.75897   0.73056   0.72304   0.99413   0.80560   0.56290   0.49048  -1.23770   0.41304  -1.15201  -1.18794  -1.65084  -0.96548  -0.88953  -0.75047  -1.64364  -1.43780  -0.52332  -1.39959  -1.76580
  20   0.48849   0.57875   0.51474  -0.55626  -0.10370  -0.09723  -0.00401   0.19503  -0.34066   0.11649  -0.29666  -0.06444   0.24776  -1.15932   0.62903   1.27857   0.24936   0.51106   0.51474  -0.94817   0.57019   0.14080  -0.77620  -0.22189   0.17235   0.05373  -0.42450   0.56371   0.32201   1.00635   0.82057  -0.04134   0.42196   0.32002   0.03198  -0.31972   0.40929  -0.59539  -1.94107  -0.48459  -0.14497   0.20351   0.44427   0.49402  -0.03698   0.61082   0.33733  -0.98792   0.40290  -1.66499   0.17572  -0.82806   0.66251   0.58545   0.75000   0.29073   0.23393   0.14028  -0.07107  -0.69826  -0.06780   0.03198   0.71764
  21   0.38319   0.00752   1.04774   0.00145   0.40929   0.51267  -0.24942   0.72880   0.75000   1.21795   0.65641  -0.01359   0.66251  -0.51149   0.28160   0.49402   0.62669   0.45368   0.48091  -0.08796   0.80560   0.60393   0.27627  -0.24150  -0.21685   0.02469  -0.69295   0.31452   0.70939   0.17235  -0.54723   0.15324   0.58185   0.11978   0.70828  -0.54533   0.84970   0.15409   0.07017  -0.18568   0.64167   0.39285  -0.35775   0.72880   0.72209   1.04297   0.89019   0.15961   0.80560   0.46656  -0.05525   0.63451   0.51106   0.78015   0.27598   1.77437  -0.03963   0.86399   0.59650   0.07218   0.80493   0.03773   0.51267
  22   1.66951   1.89216   2.03526   1.50637   1.90415   1.90415   1.99122   1.95847   1.82816   1.68927   1.85880   1.68927   1.85161   1.76547   1.72288   1.82816   1.82816   1.63954   1.77437   1.79401   2.03526   1.83886   1.92684   1.79092   1.53808   1.99122   1.95420   1.73451   1.89216   1.95420   1.89216   1.74456   1.90415   1.44204   1.65500   1.85161   1.61942   1.83886   1.19690   1.68927   1.83886   1.52188   1.79092   1.63954   1.95847   1.70872   1.79092   1.85880   1.48607   1.63954   1.75985   1.76547   1.95420   1.92684   1.95847   1.92684   1.92684   1.83886   2.03526   1.77437   1.95847   1.11755   1.89216
  23  -0.69065  -0.78724   0.05150  -0.36875  -0.63027  -0.45875  -1.87733  -0.02922  -0.35610  -0.58098  -0.35304  -1.39959   0.00145  -2.80017  -0.99506  -0.79220   0.12646  -1.69569  -1.68309  -1.65084  -0.28529  -1.52168  -1.70431  -0.94637  -0.83645  -1.18132  -2.02090  -0.40579  -0.48370  -0.87241  -1.08502  -0.30646  -0.95777  -0.90901  -0.54533  -1.34343  -0.80599  -0.09212  -0.52054  -1.34458  -1.14917  -0.73267  -1.32069  -0.79474  -0.60249  -1.03791  -1.03564  -0.65551  -1.28430  -1.10293  -0.88904  -0.77360  -0.16046  -0.58098  -1.09558  -0.15330  -0.43850  -0.27807  -0.58609  -1.61002   0.07876  -0.50883  -0.70816
  24   1.64842   1.09731   1.65500   0.69791   1.67267   1.35876   1.33337   1.36768   1.17979   1.52188   1.39070   1.19690   1.66951   1.53337   0.45685  -0.16706   0.46175   0.94055   1.20761   1.28802   0.61082   1.60881   1.80723   1.24490   1.43192   1.66951   1.40660   1.53808   1.79401   1.34441   1.51594   1.31828   1.53337   1.75985   1.95420   1.64842   1.83886   1.53337   1.19803   1.77437   1.73451   1.82816   1.85161   1.57246   1.95420   1.90415   1.92684   1.17979   0.86164   1.72288   0.70211   1.74456   1.33337   0.68302   1.28420   1.10915   1.35876   1.02038   1.58041   1.53808   1.28802   0.38001  -0.42495
  25   1.43192   1.39070   0.81508   1.09024   0.80493  -0.22872   0.67008   0.92414   1.07470   1.34441   0.54372   0.92195   1.36768  -0.31862   1.54815   1.69502   0.99870   0.57369   0.55224   1.00635   1.39936   0.32977  -0.08730   1.50637   0.91994   1.36506   1.45487   1.68927   1.24345   1.48607   1.36506   1.70872   1.85161   1.85880   1.38422   1.04774   1.73451   1.35021   1.13198   1.89216   1.75985   1.86249   1.65391   1.79401   0.10188   0.05373   0.75224   0.78015   1.67267   0.57875   1.07955   1.00635   1.51594   1.63954   1.03622   1.59319   1.20761   0.24467   0.99654   1.08012   1.13636  -1.62111   0.02342
  26   1.78636   1.47191   1.45487   1.13198   1.99122   1.90697   1.70872   1.67267   1.60881   1.63954   1.59319   1.26240   1.72288   0.90438   1.53808   1.08404   1.63428   1.30983   1.48275   1.53808   1.45487   1.55596   1.55596   1.51594   1.58041   1.63954   1.28420   1.78636   1.46121   1.80723   1.51340   1.69502   1.48607   1.68927   1.76547   1.65500   1.51340   1.85880   1.65500   1.65500   1.68927   1.66951   1.78636   1.95847   1.92684   1.36768   1.79401   1.70872   1.70872   1.66951   1.34441   1.69502   1.80723   1.54815   1.89216   1.78636   1.85161   1.69502   1.80723   1.59319   1.50637   1.85161   1.76547
  27   0.13632   1.15933   0.45603  -1.67772   0.59650   0.52907   0.33286   0.34716   0.56290   0.57369   0.59189   0.23250   1.09731  -0.94353  -0.14497  -0.45516   0.16178   0.66212   0.65690  -0.59403   0.01079   0.78093   0.30428  -0.33129   0.93305  -0.66972  -1.05729   0.08429  -0.00783   0.19404  -0.55783  -0.63696  -0.83518  -1.38230  -0.82076  -1.34842  -0.43850  -0.34623  -0.70623  -1.50713  -0.65191  -1.79789  -0.78105   0.18220   0.64167   0.03956  -0.21828  -0.04646  -0.04416  -0.86465  -1.02638  -0.96548   0.12482   0.16178   0.57019   0.64645   0.22606   0.12967   0.48091  -0.25994   1.22799  -0.63027  -0.08099
  28   0.67144  -0.13938   0.61621  -0.02414  -0.39193  -0.03770   0.77818   0.37329   0.21071  -0.09723  -0.26384  -0.23326  -0.06550  -0.35610   1.00635   1.37991  -0.27358   0.21680   0.20351   0.03198   1.22799   0.03445  -0.83518   0.09703  -0.16305   0.23748   0.91725   0.76062   0.69791   1.01144   0.50386  -0.19268   0.67864   0.40723   0.62903  -0.05414   0.55566   0.30463  -0.60817  -0.13445   0.16233  -0.04306   0.51474   0.27646  -0.42856  -0.48898   0.17404  -0.03698  -0.28602  -0.02589  -0.07996   0.04488  -0.16311   0.70658   0.75120   0.87832  -0.10314   0.23440  -0.03356  -1.44987   0.45771  -0.44816  -0.06780
  29  -0.46737  -0.89864  -0.29666  -0.85762  -1.00533  -0.49352  -1.67812  -0.37841  -0.39846  -0.83610  -0.62783  -0.95153  -0.11244  -1.46881  -0.50733  -0.61194  -0.11071  -0.17287  -0.13803  -1.87733  -0.57563  -0.28296  -1.13244  -0.65595  -1.44054  -1.70130  -1.71535  -0.79474  -0.92773  -0.66631  -1.17506  -1.96791  -2.17838  -2.11279  -1.66354  -2.64234  -1.05384  -2.22153  -2.29214  -2.14730  -1.69937  -1.67772  -1.44308  -1.67718  -1.01570  -0.82565  -0.93726  -2.03873  -1.97113  -2.15287  -1.73727  -1.94107  -0.98470  -1.43885  -0.55460  -0.52560  -1.00978  -0.59357  -1.15789  -1.65189  -0.58058  -1.56502  -1.86240
  30   0.48498   0.24936   0.38319  -0.99709  -0.42603  -0.19075   0.09703   0.66212   0.02888   0.44194  -0.13159  -0.43140   0.05434   0.45031   0.01435  -0.37637  -0.25764   1.12738   1.50917   0.13129  -0.07569   1.48607   0.78203   0.00025  -0.97313  -0.78713  -0.24705  -0.14226  -0.45815  -0.48414  -1.15344  -0.81205  -0.39031   0.06100   0.59189  -0.03770   0.34032   0.36450  -0.81205   0.70939   0.61082   0.25688   0.33182  -0.33996  -0.18183   0.01153   0.81330  -0.01359  -0.79457  -0.31588  -0.91267  -0.59566  -0.11244  -0.10370   0.56693   0.50958  -0.11116   0.17572   0.50053  -0.41696   0.45882   0.02342   0.95736
  31  -1.35286  -0.43688  -0.65455  -1.11903  -0.57830  -0.50883  -1.62921  -0.45516  -0.98631  -0.66339  -0.51442  -0.98177   0.30428  -1.01957  -0.64674  -1.19534  -0.01878  -1.04913  -1.01570  -1.52534  -0.51099  -0.14059  -0.93854  -0.71590  -0.42909  -1.23753  -1.38669  -0.60817  -0.83299  -0.77544  -0.81205   0.02523  -0.82806  -0.74644  -0.78472  -1.32126  -0.21060   0.23171  -0.19432  -1.49657  -0.91442  -1.12656  -0.39193  -0.33038  -0.55783  -0.28822  -0.49479  -0.61397  -0.64426  -0.42450  -0.98631  -0.29109  -0.58861  -0.99927  -0.37023  -0.18351   0.41009  -0.44957  -0.22518  -0.39616  -0.25968  -0.44017  -0.68866
  32   0.34387   0.19836   0.40723  -0.91093  -0.24137   0.05064   0.84801   0.27774   0.19503   0.07418  -0.01954  -0.38655   0.18706   0.55224   0.27608   0.40496  -0.67708   0.84469   1.09400  -0.04134  -0.05435   0.75790   0.04707  -0.26958  -0.77544  -0.67649  -0.34566  -0.27807  -0.26853   0.01435  -1.22010  -0.97233  -0.73450   0.02396  -0.13766  -0.75280  -0.44442  -0.24731  -0.92521  -0.13230  -0.38317  -0.77620  -0.32227   0.02888   0.26332  -0.00713   0.46656  -0.58609  -0.23256  -0.41309   0.49895  -0.39031  -0.12375  -0.25354   0.67144   0.21071  -0.20187   0.07849  -0.01588  -1.35577  -0.30646  -0.12375   0.66251
  33  -0.50195   1.03048   0.60393   0.57369  -0.13045   1.19803  -1.26745   0.42752   0.71957   0.77489  -1.38970   0.36068   0.70939  -0.78472  -1.86562  -1.82697   0.63742  -2.36984  -2.35039  -2.77179  -2.15373  -0.99899  -2.68311  -2.36769  -2.40075  -2.23507  -2.24958  -1.81096  -2.41633  -1.81340  -2.38277  -2.43166  -2.99974  -2.80017  -2.46882  -2.35456  -1.65397  -2.13454  -2.11279  -2.96619  -2.70530  -2.46882  -1.17506  -1.74612  -2.06672  -1.81556  -2.16500  -2.12780  -2.46415  -0.97379  -3.10125  -2.12445   0.72304  -0.40497   0.48091  -0.47185   0.12093   0.56452   0.15156   0.06611   0.75120   1.29148  -0.43464
  34   0.67774   1.26240   0.67144   0.95231   1.04560   0.51106   0.52360   0.60902   0.29999   0.45031   0.67864   0.99413   0.55899   0.44427   0.19651  -0.16426   0.93651   0.50053   0.47005   0.86164   0.51498   0.05150   0.64682   0.97802   1.67267   1.23211   1.13198   0.89623   0.78203   1.35876   0.58545   0.55566   1.19690   0.84075   0.97802   0.99413   1.15139   0.60199   0.94055   0.48091   0.86800   1.13198   0.88466   1.18493   0.53321   0.71405   0.61082   1.14354   1.79401   0.70828  -0.45610   1.12738   0.70939   0.08015   0.50386   0.82057   0.38974   0.52378  -0.16311   1.01747   0.60584   0.22174  -0.13045
  35   1.47780   1.17979   1.76547   0.28728  -0.22264   1.42514   1.59142   1.85161   1.18277   1.10270   1.61942   1.47191   1.28420   1.61942   0.88466   0.50724   1.23211   1.86249   1.75985   1.95847   0.65641   1.54815   1.38422   1.86249   1.85161   1.83886   1.80723   0.58545   1.18277   0.66212   1.35021   1.21472   0.16856   0.98182   1.27857   1.24156   1.40819   1.11755   0.99654   1.40660   1.85161   1.83886   1.11388   1.32903   0.70486   1.23211   0.75595   1.48275   1.07470   1.48607   1.12738   1.48607   0.91994   1.20761   1.44204   1.40819   0.94055   1.12738   1.40819   1.04774   1.35021   1.78636   1.48607
  36   0.90725   0.66212   0.84469  -0.13302   0.44693   0.63742   1.07050   0.99413   1.23211   0.76428   1.01747   0.70658   0.98911   1.57246   1.04297   1.03048   0.47505   1.53808   1.47780   1.13198   1.38422   1.63954   1.89216  -0.05943   0.69347   0.43162  -0.21060   0.45882   0.80942   0.61082   0.49402   0.52907   0.09062   0.34032   0.15931   0.63451   0.15961   0.22606   0.65641   1.08012   0.72880   0.14332   0.00683  -0.16706   0.34256   0.12478   0.46972   0.18220   0.16233   0.52724   0.39133  -0.04646   0.87832   0.58336   0.46417   0.79647  -0.43140   0.48498   1.10270   0.97250   0.48261  -0.12483   0.70939
  37  -0.18351  -0.67286  -1.82016   0.45368  -0.91267  -1.30601  -1.85918  -1.03269  -0.74602  -0.37172  -1.14319  -0.73465  -1.41080  -0.02922  -0.29236   0.50540  -0.92824  -0.53333  -0.49070  -0.23256  -0.69530  -0.24124  -0.26794  -0.49127   0.71764  -0.28988  -0.37877   0.32783   0.19404  -0.41847   0.10841  -0.20187  -0.00040   0.28552  -0.14717  -0.16164  -0.76949  -0.59403  -0.40332  -0.14497  -0.31739  -0.02158  -0.48695  -0.93369  -1.89049  -1.15012  -1.08309  -0.47337  -0.87361  -1.07970  -0.59512  -1.23066  -0.15385   0.10616  -0.40115   0.06821  -1.62642   0.85660  -0.95842  -0.61555  -0.88953  -1.83447  -1.02262
  38  -0.10514  -0.19955   0.16742  -0.77404  -0.31739  -0.12279  -0.58951  -0.44161  -0.41961  -0.32138  -0.43464  -0.65518  -0.68191  -1.59537  -1.54202  -0.97280  -0.26319  -2.01486  -2.01486  -0.89221  -0.94920  -2.55643  -1.62212  -0.59149  -1.49679  -0.79874  -1.39251  -1.26567  -0.85122  -0.42251  -0.35304  -0.59376   0.66086  -0.62419  -1.23109  -0.48305   0.09390  -0.96890  -0.99764  -1.25387  -0.78994  -0.67536  -0.61675  -1.15860  -1.23015  -1.87733  -1.24480  -0.88661  -0.34284  -1.12501  -1.02249  -0.70436   0.18478  -0.70917   0.38325  -0.76293  -1.05729  -0.07626  -0.64483  -0.64018  -0.69405  -0.66087  -0.28822
  39   0.03198  -0.84959  -0.43464  -0.40332  -0.61953  -0.67974  -1.05729  -0.42144  -0.63450  -0.47651  -0.71652  -0.20028  -1.96898  -0.44785  -0.50883  -0.10142  -1.17038  -0.59357  -0.61111  -1.00944  -0.90622  -0.54533  -0.35610  -1.15550  -0.14033  -0.83218  -1.01874  -0.12812   0.04679  -0.40497  -0.26143  -0.37564  -0.65422  -0.58268  -0.97783  -0.47747  -1.17782  -1.20364  -0.84050  -0.28529  -0.91056  -0.51149  -1.21849  -1.13166  -1.90449  -1.23770  -0.88783  -0.88868  -0.82463  -1.12656   0.00364  -1.56070  -0.08099  -0.02922  -0.75391  -0.47651  -0.86846  -0.69155  -0.03072   0.01153  -1.34400  -0.70917  -0.41680
